estagio;idade;ocorrencia
0;12;0
0;8;0
0;6;0
0;8;0
0;5;0
0;5;1
0;15;1
0;8;1
0;3;0
0;8;0
0;6;0
0;20;0
0;12;1
0;3;0
0;8;0
0;14;0
0;5;0
0;24;0
0;16;0
0;18;0
0;14;0
0;5;0
0;5;0
0;12;0
0;11;0
0;6;0
0;14;0
0;16;0
0;9;0
0;8;0
0;16;0
0;9;0
0;8;1
0;27;1
0;14;0
0;13;0
0;14;0
0;18;0
0;8;0
0;9;0
0;10;0
0;9;1
0;9;1
0;9;1
0;14;0
0;12;0
0;20;0
0;12;0
0;9;0
0;27;0
0;17;0
0;10;0
0;24;0
0;21;0
0;16;0
0;11;0
0;6;0
0;14;0
0;19;0
0;14;0
0;22;0
0;19;0
0;10;1
0;8;0
0;10;0
0;10;0
0;19;0
0;20;0
0;18;0
0;12;0
0;10;0
0;24;0
0;17;0
0;11;0
0;12;0
0;21;1
0;21;0
0;15;0
0;16;1
0;33;0
0;23;0
0;15;0
0;20;0
0;23;0
0;16;1
0;16;0
0;15;1
0;26;0
0;14;0
0;14;0
0;15;0
0;16;0
0;15;0
0;14;0
0;17;0
0;17;0
0;14;0
0;16;0
0;22;0
0;16;0
0;26;1
0;17;0
0;28;0
0;21;0
0;19;0
0;16;0
0;19;0
0;16;0
0;6;0
0;17;0
0;18;0
0;15;0
0;14;0
0;15;0
0;21;0
0;26;1
0;17;0
0;17;0
0;21;0
0;16;0
0;17;0
0;30;0
0;26;1
0;31;0
0;23;0
1;36;0
0;28;1
0;19;0
0;10;0
0;17;0
0;27;0
0;18;0
0;18;0
0;10;0
0;17;0
0;10;0
0;19;1
0;18;0
0;25;0
0;14;0
0;19;1
0;7;0
0;14;0
0;23;0
0;11;0
0;14;0
0;13;0
0;28;1
0;12;1
0;21;0
0;23;0
0;28;0
0;12;0
1;41;1
0;21;0
0;23;0
0;22;1
0;33;0
0;32;0
0;22;0
0;18;0
0;30;0
0;13;0
1;40;0
0;22;0
0;27;1
0;23;0
0;22;1
0;15;0
0;26;0
0;27;0
0;12;0
0;29;0
0;31;0
0;26;0
0;35;0
0;10;0
0;21;0
0;23;1
0;13;0
0;27;0
0;23;1
0;33;0
0;14;0
0;28;1
0;19;1
0;24;1
0;15;0
0;14;1
0;23;1
0;24;1
0;24;0
0;33;0
0;23;0
0;35;1
0;22;0
0;23;0
0;24;0
0;24;1
0;33;0
0;14;0
0;24;0
0;25;0
0;22;1
1;38;0
0;23;1
0;4;0
0;23;1
0;21;0
0;26;0
0;17;1
0;23;0
0;25;0
0;14;0
0;24;0
0;31;0
1;38;0
0;17;1
0;25;0
0;26;1
0;25;0
0;17;0
0;32;0
0;34;0
0;25;1
0;26;0
0;26;1
0;21;0
0;29;1
0;14;0
0;19;0
0;29;1
0;31;0
1;49;1
0;21;0
0;31;0
0;19;0
1;41;0
0;29;0
0;22;0
0;28;0
0;30;0
0;11;0
1;48;0
0;20;0
0;15;0
0;14;0
1;38;0
0;17;0
0;19;0
0;30;0
0;15;1
0;22;1
0;29;0
0;31;0
0;13;0
0;15;1
0;21;0
0;20;1
0;35;1
0;13;0
0;21;0
0;31;0
0;9;0
0;31;0
1;37;1
1;40;0
0;31;0
1;44;0
1;37;0
0;31;0
0;30;1
0;31;0
1;37;0
0;29;0
0;23;0
0;20;0
0;35;0
1;45;0
1;43;0
0;32;0
1;37;0
1;39;0
0;12;1
1;36;1
0;14;0
0;24;1
0;22;1
0;15;0
0;34;0
0;14;1
0;21;0
0;27;1
0;34;1
0;35;0
0;33;0
0;8;0
0;13;0
0;15;0
0;17;1
0;15;0
0;31;0
0;8;0
0;19;1
0;18;0
0;14;0
0;24;0
0;21;0
0;12;0
0;22;0
0;11;0
0;24;0
0;29;0
0;12;1
0;28;0
0;31;0
0;32;0
0;32;0
0;30;0
1;43;0
0;33;0
0;32;0
1;41;0
1;46;1
0;32;0
0;32;0
0;31;0
0;15;0
0;22;0
0;34;0
0;34;0
0;23;0
0;14;1
0;33;0
0;22;0
0;32;0
0;33;0
0;17;0
0;33;0
0;34;0
0;15;0
0;23;0
0;13;0
0;31;0
0;25;1
0;16;0
1;40;0
1;43;0
1;42;0
1;54;0
0;27;0
1;37;1
0;35;0
1;36;0
0;26;0
0;19;0
1;41;0
1;44;0
0;21;0
0;26;0
0;25;0
0;23;0
0;25;0
0;35;0
1;36;0
0;17;0
1;55;0
1;47;0
1;36;0
1;37;0
0;14;0
1;37;0
1;37;0
0;19;0
0;21;0
0;20;0
0;21;0
0;28;1
0;15;0
1;36;0
1;43;0
1;43;0
1;37;0
0;22;0
0;18;1
1;38;0
0;20;0
1;43;0
0;18;0
0;20;1
1;49;0
0;27;0
1;40;0
1;47;0
0;33;0
1;37;1
1;37;0
1;40;0
0;27;0
0;28;0
0;29;0
0;28;0
1;41;0
0;28;0
0;35;0
0;26;0
0;29;0
1;41;0
1;38;0
1;47;0
1;51;0
0;14;1
0;25;0
0;18;0
0;14;0
1;37;0
0;23;0
0;24;0
1;36;0
1;49;0
0;35;0
1;39;0
1;38;1
1;44;0
1;37;0
0;30;0
1;36;0
0;28;0
1;38;1
1;37;0
0;21;0
1;38;0
0;20;0
1;43;0
0;34;0
1;53;0
1;38;1
0;23;0
1;39;0
1;37;0
1;40;0
0;19;0
0;21;0
1;53;0
0;22;0
1;47;0
0;22;0
1;40;0
0;20;0
0;29;1
0;28;0
1;39;0
1;39;1
0;21;0
0;31;0
1;48;0
0;32;0
0;31;0
0;31;0
0;29;0
0;24;0
1;40;0
0;21;0
1;39;0
1;41;0
1;40;0
0;21;0
0;23;0
1;49;0
1;41;0
0;29;0
1;47;0
