dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
2017-01-01 00:00:00 +0000 UTC,23.7,21.96,24.4,1013,86,1.32,334,97
2017-01-01 01:00:00 +0000 UTC,23.92,21.36,24.63,1013,85,1.38,326,100
2017-01-01 02:00:00 +0000 UTC,23.98,21.26,24.64,1014,85,1.52,314,100
2017-01-01 03:00:00 +0000 UTC,22.96,21.34,23.47,1013,94,1.37,299,99
2017-01-01 04:00:00 +0000 UTC,22.1,20.76,22.53,1013,95,1.39,302,95
2017-01-01 05:00:00 +0000 UTC,22.01,20.36,22.48,1012,96,1.32,307,96
2017-01-01 06:00:00 +0000 UTC,21.97,20.26,22.4,1012,96,1.45,315,89
2017-01-01 07:00:00 +0000 UTC,22.11,19.86,22.63,1012,96,1.68,318,72
2017-01-01 08:00:00 +0000 UTC,22.13,20.26,22.62,1012,95,1.84,313,70
2017-01-01 09:00:00 +0000 UTC,22.18,20.46,22.69,1013,95,1.9,308,65
2017-01-01 10:00:00 +0000 UTC,23.52,20.84,24.2,1014,82,2.37,286,92
2017-01-01 11:00:00 +0000 UTC,24.33,23.66,24.89,1014,80,2.79,288,95
2017-01-01 12:00:00 +0000 UTC,24.36,23.14,25.26,1014,81,2.97,291,81
2017-01-01 13:00:00 +0000 UTC,25.06,23.82,25.77,1014,84,3.81,290,86
2017-01-01 14:00:00 +0000 UTC,24.8,23.55,26.76,1014,83,4.3,293,97
2017-01-01 15:00:00 +0000 UTC,27.57,26.14,28.35,1013,66,4.88,290,81
2017-01-01 16:00:00 +0000 UTC,28.63,25.36,29.31,1013,62,5.27,293,71
2017-01-01 17:00:00 +0000 UTC,29.52,25.26,30.44,1012,57,5.3,299,42
2017-01-01 18:00:00 +0000 UTC,30.52,24.84,31.43,1012,52,4.74,303,70
2017-01-01 19:00:00 +0000 UTC,29.64,25.34,30.3,1011,52,4.6,298,80
2017-01-01 20:00:00 +0000 UTC,29.93,28.36,30.52,1012,48,3.86,278,98
2017-01-01 21:00:00 +0000 UTC,27.76,27.26,28.38,1012,66,2.73,272,93
2017-01-01 22:00:00 +0000 UTC,25,24.19,25.71,1012,80,1.77,259,93
2017-01-01 23:00:00 +0000 UTC,24.58,22.24,25.27,1013,81,1.77,272,92
2017-01-02 00:00:00 +0000 UTC,24.2,23.59,24.8,1013,84,1.7,280,96
